Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Mohr_1_1_Ctrl Spectral Count	Mohr_1_2_Ctrl Spectral Count	Mohr_1_3_Ctrl Spectral Count	Mohr_2_1_CBN375 Spectral Count	Mohr_2_2_CBN375 Spectral Count	Mohr_2_3_CBN375 Spectral Count	Mohr_3_1_CBN550 Spectral Count	Mohr_3_2_CBN550 Spectral Count	Mohr_3_3_CBN550 Spectral Count	Mohr_4_1_CBN772 Spectral Count	Mohr_4_2_CBN772 Spectral Count	Mohr_4_3_CBN772 Spectral Count	Mohr_5_1_ASHRAE Spectral Count	Mohr_5_2_ASHRAE Spectral Count	Mohr_5_3_ASHRAE Spectral Count	Mohr_6_1_A2FINE Spectral Count	Mohr_6_2_A2FINE Spectral Count	Mohr_6_3_A2FINE Spectral Count	Mohr_1_1_Ctrl Intensity	Mohr_1_2_Ctrl Intensity	Mohr_1_3_Ctrl Intensity	Mohr_2_1_CBN375 Intensity	Mohr_2_2_CBN375 Intensity	Mohr_2_3_CBN375 Intensity	Mohr_3_1_CBN550 Intensity	Mohr_3_2_CBN550 Intensity	Mohr_3_3_CBN550 Intensity	Mohr_4_1_CBN772 Intensity	Mohr_4_2_CBN772 Intensity	Mohr_4_3_CBN772 Intensity	Mohr_5_1_ASHRAE Intensity	Mohr_5_2_ASHRAE Intensity	Mohr_5_3_ASHRAE Intensity	Mohr_6_1_A2FINE Intensity	Mohr_6_2_A2FINE Intensity	Mohr_6_3_A2FINE Intensity	Indistinguishable Proteins
sp|P61916|NPC2_HUMAN	P61916	NPC2_HUMAN	NPC2	151	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	NPC intracellular cholesterol transporter 2 	1.0000	0.9990	6	56	56	56	4	3	3	3	2	3	3	3	4	3	3	3	3	1	3	3	4	5	1714854	823544	926050	1501588	554481	696586	9046832	4689447	7386016	1956730	1365563	1053384	705323	178897	943132	2267667	3002242	2531941		
sp|P61956|SUMO2_HUMAN	P61956	SUMO2_HUMAN	SUMO2	95	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Small ubiquitin-related modifier 2 	1.0000	0.9989	3	31	31	78	1	1	2	0	1	1	5	4	4	0	0	0	1	1	1	4	4	1	19358846	10519590	11834492	18959048	16504938	6899913	17638595	8491690	9571731	14875886	13901943	7900742	18135426	7986783	8290040	20960452	20182683	9401288		
sp|P61960|UFM1_HUMAN	P61960	UFM1_HUMAN	UFM1	85	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Ubiquitin-fold modifier 1 	1.0000	0.9990	3	87	87	87	8	6	6	8	5	7	0	0	0	8	7	5	6	9	6	2	2	2	4639826	3598080	3585215	5101142	3789809	3326309	     0	     0	     0	4103308	4299677	4038438	3725134	4156423	4559980	1163798	1092352	1309935		
sp|P61970|NTF2_HUMAN	P61970	NTF2_HUMAN	NUTF2	127	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Nuclear transport factor 2 	1.0000	0.9990	6	88	88	88	7	6	7	8	8	6	1	1	1	7	6	7	9	5	6	2	0	1	5637933	3744551	3917067	4264522	4937464	3076293	5210202	2791673	2966730	4063495	4421993	3806335	5647997	2669232	2812988	6372360	     0	3236109		
sp|P61978|HNRPK_HUMAN	P61978	HNRPK_HUMAN	HNRNPK	463	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein K 	1.0000	0.9990	15	224	224	224	17	16	15	14	12	14	9	10	9	13	16	17	16	15	14	5	5	7	9099882	4963167	6499425	7788727	6685065	5687479	17343130	6806541	8276096	22095244	7844067	5923376	10462044	5313832	7590120	10671704	6620629	10382286		
sp|P61981|1433G_HUMAN	P61981	1433G_HUMAN	YWHAG	247	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	14-3-3 protein gamma 	1.0000	0.9990	11	144	144	237	10	11	8	9	7	6	4	4	5	11	10	9	10	10	9	6	8	7	63291363	38093740	48632816	74734522	66066496	45928389	9073556	4050636	5803521	75746785	66987987	56039605	72820826	49734745	53188558	5738190	4435935	8287450		
sp|P62081|RS7_HUMAN	P62081	RS7_HUMAN	RPS7	194	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S7 	1.0000	0.9990	3	28	28	28	1	1	2	2	2	2	1	1	1	2	2	3	2	1	2	1	1	1	178468	152311	238411	482338	366911	304526	659754	451255	405826	641058	525027	654834	389563	221587	305463	322139	251212	243118		
sp|P62241|RS8_HUMAN	P62241	RS8_HUMAN	RPS8	208	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S8 	1.0000	0.9990	3	5	5	5	0	0	0	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	     0	     0	     0	     0	     0	     0	     0	     0	     0	544123	317532	181268	     0	     0	     0	     0	     0	     0		
sp|P62258|1433E_HUMAN	P62258	1433E_HUMAN	YWHAE	255	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	14-3-3 protein epsilon 	1.0000	0.9990	23	715	644	715	50	43	52	45	50	38	16	16	17	47	47	44	48	49	47	38	34	34	84148178	55134816	63106188	91541774	79093955	59848628	21304554	8651994	11833376	93672250	82884316	71919656	87446164	64648207	63225708	42566678	33782289	33305448		
sp|P62304|RUXE_HUMAN	P62304	RUXE_HUMAN	SNRPE	92	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein E 	1.0000	0.9990	3	20	20	20	1	2	2	2	0	1	1	1	1	3	1	1	2	0	2	0	0	0	106617	448013	552262	605711	     0	388254	595056	208382	407055	1423900	     0	547651	971592	     0	558739	     0	     0	     0		
sp|P62310|LSM3_HUMAN	P62310	LSM3_HUMAN	LSM3	102	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	U6 snRNA-associated Sm-like protein LSm3 	1.0000	0.9990	3	15	15	15	1	1	0	0	1	1	0	0	1	3	1	1	2	1	2	0	0	0	299404	220698	     0	     0	267125	299489	     0	     0	1117954	688531	286640	339984	565566	328525	1376669	     0	     0	     0		
sp|P62316|SMD2_HUMAN	P62316	SMD2_HUMAN	SNRPD2	118	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein Sm D2 	1.0000	0.9990	5	19	19	19	2	0	0	2	1	0	2	1	2	2	2	0	1	0	1	1	1	1	1035128	     0	     0	233720	283602	     0	4237480	1631667	2120091	564029	422418	     0	     0	     0	273695	1189703	1093773	1733991		
sp|P62318|SMD3_HUMAN	P62318	SMD3_HUMAN	SNRPD3	126	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein Sm D3 	1.0000	0.9990	3	27	27	27	1	1	3	2	1	3	1	1	0	2	2	3	2	2	2	0	0	1	487579	748020	471310	1306656	810970	1110003	1036841	730824	     0	1332002	1461969	1363893	819681	667714	985015	     0	     0	438995		
sp|P62328|TYB4_HUMAN	P62328	TYB4_HUMAN	TMSB4X	44	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Thymosin beta-4 	1.0000	0.9990	2	14	14	14	2	2	1	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1	3486037	2063107	1705473	     0	3029522	1501379	     0	1845451	     0	     0	1937339	1248273	631381	648002	     0	3089184	     0	1392113		
sp|P62633|CNBP_HUMAN	P62633	CNBP_HUMAN	CNBP	177	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Cellular nucleic acid-binding protein 	1.0000	0.9990	2	7	7	7	1	1	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	345176	300433	     0	819649	     0	     0	     0	     0	     0	     0	     0	455952	     0	     0	     0	     0	     0	     0		
sp|P62701|RS4X_HUMAN	P62701	RS4X_HUMAN	RPS4X	263	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S4, X isoform 	1.0000	0.9989	2	10	10	10	0	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	0	0	     0	     0	157104	340792	308780	     0	815196	420469	     0	328993	357300	334095	253553	     0	168000	     0	     0	     0		
sp|P62805|H4_HUMAN	P62805	H4_HUMAN	H4-16	103	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Histone H4 	1.0000	0.9990	5	66	66	66	4	4	4	4	3	5	3	3	2	6	4	5	4	5	4	2	1	3	4891798	3177612	3333409	5672989	5983460	3145349	8527200	4527673	4372901	8768729	8025806	5402563	8047824	5326995	5817187	4607536	2788179	5180799		
sp|P62826|RAN_HUMAN	P62826	RAN_HUMAN	RAN	216	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	GTP-binding nuclear protein Ran 	1.0000	0.9990	7	32	32	32	1	1	2	2	3	2	0	1	1	3	3	3	1	1	3	2	1	2	440557	292632	494792	1272820	1179283	324179	     0	1558110	219402	2587571	6961726	1275141	558673	367031	1034396	944733	434574	981578		
sp|P62847|RS24_HUMAN	P62847	RS24_HUMAN	RPS24	133	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S24 	1.0000	0.9990	2	15	15	15	0	1	0	3	1	1	0	0	0	4	2	1	0	1	1	0	0	0	     0	144135	     0	484208	236314	193274	     0	     0	     0	664852	569608	393333	     0	239341	178909	     0	     0	     0		
sp|P62851|RS25_HUMAN	P62851	RS25_HUMAN	RPS25	125	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S25 	1.0000	0.9990	3	15	15	15	2	1	1	1	1	1	0	0	0	1	1	2	0	0	1	1	1	1	1137417	194765	439718	533433	593358	191864	     0	     0	     0	747147	984584	643343	     0	     0	288662	524120	377387	424251		
sp|P62857|RS28_HUMAN	P62857	RS28_HUMAN	RPS28	69	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S28 	1.0000	0.9990	2	36	36	36	3	3	3	3	2	3	1	1	1	2	2	2	3	2	2	1	1	1	4554445	3190829	3349494	4515540	4268907	3252839	3076740	1949499	1681240	3091694	2440121	2984242	5836545	2258645	3554964	1894455	1557484	1198985		
sp|P62906|RL10A_HUMAN	P62906	RL10A_HUMAN	RPL10A	217	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L10a 	1.0000	0.9990	5	5	5	5	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	     0	     0	     0	     0	337087	     0	     0	     0	     0	     0	503949	244555	     0	     0	454784	     0	     0	     0		
sp|P62937|PPIA_HUMAN	P62937	PPIA_HUMAN	PPIA	165	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase A 	1.0000	0.9990	8	161	152	161	14	12	11	11	12	12	0	1	1	12	15	13	13	13	14	3	2	2	15401424	7508135	9270540	16020463	15936528	7951086	     0	4350736	4342176	19646567	21703602	13369507	19751096	13926068	15946532	7777923	6340900	8120790		
sp|P62942|FKB1A_HUMAN	P62942	FKB1A_HUMAN	FKBP1A	108	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase FKBP1A 	1.0000	0.9990	5	54	48	54	5	6	5	3	2	3	0	0	0	4	3	4	6	5	5	1	1	1	3795677	4459593	4505025	4475524	2731648	3430950	     0	     0	     0	4245080	3676439	4937020	11267884	5940303	7158995	2082984	1522893	1474690		
sp|P62993|GRB2_HUMAN	P62993	GRB2_HUMAN	GRB2	217	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Growth factor receptor-bound protein 2 	1.0000	0.9990	10	52	52	52	3	4	6	2	3	2	3	3	1	1	1	3	5	3	4	3	3	2	2083576	1154907	1571818	667050	1993340	880736	1427174	1431402	364173	123075	136669	1332999	1894627	476662	1242593	378564693	1063276	605632		
sp|P63000|RAC1_HUMAN	P63000	RAC1_HUMAN	RAC1	192	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Ras-related C3 botulinum toxin substrate 1 	1.0000	0.9990	4	9	1	9	0	0	1	1	0	1	0	0	0	1	1	1	0	1	2	0	0	0	     0	     0	331844	339306	     0	225451	     0	     0	     0	5781948	4948018	1940167	     0	     0	435489	     0	     0	     0		
sp|P63010|AP2B1_HUMAN	P63010	AP2B1_HUMAN	AP2B1	937	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	AP-2 complex subunit beta 	1.0000	0.9990	8	49	40	49	1	2	1	5	4	4	0	0	0	5	4	6	7	4	5	1	0	0	261950	312913	146317	1125428	1162934	439966	     0	     0	     0	1350392	1205553	1011304	1746829	1185130	1060402	903642	     0	     0		
sp|P63098|CANB1_HUMAN	P63098	CANB1_HUMAN	PPP3R1	170	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Calcineurin subunit B type 1 	1.0000	0.9990	3	17	17	17	1	0	1	3	1	2	0	1	1	1	2	1	0	0	1	0	0	2	228277	     0	295379	684315	454828	367928	     0	256982	206160	417574	588667	267561	     0	     0	227816	     0	     0	2112743		
sp|P63104|1433Z_HUMAN	P63104	1433Z_HUMAN	YWHAZ	245	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	14-3-3 protein zeta/delta 	1.0000	0.9990	17	349	287	420	23	23	23	27	22	22	6	6	5	23	29	26	25	24	25	12	15	13	70540997	43890086	49966236	85793537	73543977	51209283	26873081	10809145	16518554	83935925	79238882	60306387	83211646	57162335	56224343	16225576	14380357	13470317		
sp|P63165|SUMO1_HUMAN	P63165	SUMO1_HUMAN	SUMO1	101	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Small ubiquitin-related modifier 1 	1.0000	0.9990	3	28	7	28	1	3	2	2	1	1	1	0	1	2	3	2	2	1	1	3	1	1	1267293	1704141	1663234	1319013	1141863	365876	1974723	     0	1154536	1406532	2592251	1231010	1714047	646532	732404	3012906	987852	866419		
sp|P63208|SKP1_HUMAN	P63208	SKP1_HUMAN	SKP1	163	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	S-phase kinase-associated protein 1 	1.0000	0.9990	9	128	128	128	9	10	10	8	8	7	3	3	4	8	8	8	13	7	9	5	4	4	4534879	2977205	3182914	4613966	4511874	2371710	7709457	5242095	5814636	4428546	5315917	3314524	5525438	2979940	3433101	4550155	2662997	3301942		
sp|P63220|RS21_HUMAN	P63220	RS21_HUMAN	RPS21	83	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S21 	1.0000	0.9990	2	13	13	13	0	1	1	0	1	1	1	1	1	0	1	1	0	1	2	1	0	0	     0	219820	201402	     0	291006	218713	191138	128673	134171	     0	313827	328880	     0	381858	716788	179736	     0	     0		
sp|P63241|IF5A1_HUMAN	P63241	IF5A1_HUMAN	EIF5A	154	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 5A-1 	1.0000	0.9990	11	177	96	177	10	10	11	11	10	9	2	4	4	17	14	15	18	15	13	4	5	5	6896672	4544345	5311890	6155636	6274828	4428257	13307194	8754789	11654665	6428840	8540072	6546573	9447176	5202946	6096186	7590621	6743138	9442675		
sp|P63244|RACK1_HUMAN	P63244	RACK1_HUMAN	RACK1	317	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Receptor of activated protein C kinase 1 	1.0000	0.9990	3	12	12	12	1	0	1	0	2	2	0	0	1	1	2	1	0	1	0	0	0	0	229475	     0	146216	     0	349265	327546	     0	     0	420436	430067	912898	161331	     0	484717	     0	     0	     0	     0		
sp|P63261|ACTG_HUMAN	P63261	ACTG_HUMAN	ACTG1	375	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Actin, cytoplasmic 2 	1.0000	0.9990	18	429	49	429	32	26	35	28	31	24	8	9	9	32	30	30	35	31	34	13	10	12	19868473	11727367	16419558	24717792	35042860	16276072	33289860	30255353	27867380	49606186	48434977	22618568	45445280	23303393	26701226	27097898	21711231	26032164		
sp|P63279|UBC9_HUMAN	P63279	UBC9_HUMAN	UBE2I	158	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	SUMO-conjugating enzyme UBC9 	1.0000	0.9990	6	19	19	19	0	1	3	0	0	0	2	2	1	3	0	0	2	0	0	2	1	2	     0	130349	337443	     0	     0	     0	4295972	2128358	2058568	965118	     0	     0	422190	     0	     0	3036850	1189721	2185176		
sp|P67809|YBOX1_HUMAN	P67809	YBOX1_HUMAN	YBX1	324	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Y-box-binding protein 1 	1.0000	0.9990	9	96	61	96	10	8	6	7	4	4	4	3	3	7	6	5	5	5	5	5	6	3	3319985	1760097	1794805	2870785	1775863	1272361	3865688	1800203	1987482	2679370	2433629	1548359	2459332	1801371	1175480	3699150	2603923	3184992		
sp|P67936|TPM4_HUMAN	P67936	TPM4_HUMAN	TPM4	248	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Tropomyosin alpha-4 chain 	1.0000	0.9990	22	673	201	673	43	43	47	47	48	44	22	18	18	43	47	46	39	36	45	30	29	28	230960072	108338642	124635080	202105236	213200188	109301754	250750588	143487053	130491494	169914554	170001806	108414532	234192136	124637614	135451210	212789582	185431738	238511188		
sp|P68032|ACTC_HUMAN	P68032	ACTC_HUMAN	ACTC1	377	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Actin, alpha cardiac muscle 1 	1.0000	0.9990	13	29	0	210	3	2	3	2	2	3	0	0	0	3	2	2	2	3	2	0	0	0	12063059	8665374	13145849	17300954	26137940	12557733	33289860	30255353	27867380	42354738	42267922	16134088	34700664	15301115	17468730	26579148	21711231	26032164	sp|P68133|ACTS_HUMAN	
sp|P68036|UB2L3_HUMAN	P68036	UB2L3_HUMAN	UBE2L3	154	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 L3 	1.0000	0.9990	7	144	61	144	10	10	10	11	9	9	5	4	4	11	11	10	8	9	8	5	5	5	4202173	2773686	7291523	4070410	3417994	11674736	6534305	3252878	3101928	4718301	4959203	9210655	4360440	3900986	9768510	4202878	3661164	3049245		
sp|P68104|EF1A1_HUMAN	P68104	EF1A1_HUMAN	EEF1A1	462	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Elongation factor 1-alpha 1 	1.0000	0.9990	15	181	0	181	11	11	14	15	13	11	2	2	1	15	13	13	14	12	16	5	7	6	7380894	4386267	5244194	12154440	10361555	4824290	8133358	4270760	5305120	13252086	14725908	8155265	12971068	8753346	14413419	7887076	7681102	7708905	sp|Q5VTE0|EF1A3_HUMAN	
sp|P68366|TBA4A_HUMAN	P68366	TBA4A_HUMAN	TUBA4A	448	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Tubulin alpha-4A chain 	1.0000	0.9990	12	42	9	148	2	2	2	3	3	3	2	2	1	4	4	4	1	2	3	2	0	2	3264940	1816348	1776778	4059936	2622395	2255195	1768806	1384472	969541	5248507	3083176	4019831	4209199	3073797	3438537	1376671	434176	634902		
sp|P68371|TBB4B_HUMAN	P68371	TBB4B_HUMAN	TUBB4B	445	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Tubulin beta-4B chain 	1.0000	0.9990	15	21	0	141	1	1	2	2	0	2	0	0	0	1	2	2	2	3	1	2	0	0	2053961	1698689	2087219	2314613	2185763	1944358	2463338	     0	1738022	3660328	2929298	3179158	2734018	2604747	2503626	2278807	243861	513691		
sp|P68402|PA1B2_HUMAN	P68402	PA1B2_HUMAN	PAFAH1B2	229	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Platelet-activating factor acetylhydrolase IB subunit beta 	1.0000	0.9990	7	88	88	88	4	8	7	7	8	6	0	0	0	8	4	8	9	7	9	0	0	3	2120774	4375438	5395547	6902811	5794129	5695764	     0	     0	     0	8448755	7063333	7833271	9966943	7002868	6952618	     0	     0	877912		
sp|P68871|HBB_HUMAN	P68871	HBB_HUMAN	HBB	147	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Hemoglobin subunit beta 	1.0000	0.9990	10	104	57	404	9	8	6	10	8	6	3	3	2	7	7	6	8	8	5	4	2	2	343491209	273803480	330424476	437352083	451661680	305789565	384102811	256461402	309256608	450782074	405170184	411504554	459206066	343899002	480739979	369755548	305420542	389287628		
sp|P69891|HBG1_HUMAN	P69891	HBG1_HUMAN	HBG1	147	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Hemoglobin subunit gamma-1 	1.0000	0.9990	7	705	0	705	31	37	48	43	36	41	28	29	28	43	49	45	49	49	57	27	26	39	724860832	439002792	482738296	735635896	725909016	435901512	861965696	501405384	538927320	750640928	759716832	576835984	891067456	479263424	675448624	778739920	669115552	589749296	sp|P69892|HBG2_HUMAN	
sp|P69905|HBA_HUMAN	P69905	HBA_HUMAN	HBA2	142	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Hemoglobin subunit alpha 	1.0000	0.9990	10	910	874	910	61	57	61	51	51	50	18	21	29	67	67	68	71	72	76	28	26	36	650325264	396732440	499152432	650188208	525667632	348535408	360671948	240983854	365585878	659694064	701277920	398154296	841637552	495323040	539255520	261857832	248500818	416077416		
sp|P78371|TCPB_HUMAN	P78371	TCPB_HUMAN	CCT2	535	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	T-complex protein 1 subunit beta 	1.0000	0.9990	6	19	19	19	0	1	2	3	0	1	0	0	0	2	2	5	1	1	1	0	0	0	     0	178993	391202	683675	     0	483615	     0	     0	     0	622641	715207	1145710	252545	273239	256602	     0	     0	     0		
sp|P78417|GSTO1_HUMAN	P78417	GSTO1_HUMAN	GSTO1	241	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Glutathione S-transferase omega-1 	1.0000	0.9990	5	9	9	9	0	0	0	1	1	1	1	0	0	0	0	1	0	1	2	0	1	0	     0	     0	     0	363986	596681	383097	240963	     0	     0	     0	     0	490353	     0	523384	1026475	     0	187418	     0		
sp|P78559|MAP1A_HUMAN	P78559	MAP1A_HUMAN	MAP1A	2803	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Microtubule-associated protein 1A 	1.0000	0.9990	3	3	3	5	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	227992	214243	     0	     0	     0	     0	     0	     0	     0	     0	652902	     0	     0	     0	365216	     0	     0	     0		
sp|P80303|NUCB2_HUMAN	P80303	NUCB2_HUMAN	NUCB2	420	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Nucleobindin-2 	1.0000	0.9990	11	115	115	118	9	8	6	8	6	9	4	4	4	7	7	7	7	7	8	4	5	5	4994886	4450950	3807992	5977551	4388786	4094916	7292588	3646222	3684115	5889629	6504337	4672811	5649095	3790657	4926411	3639029	2427496	2168103		
sp|P80723|BASP1_HUMAN	P80723	BASP1_HUMAN	BASP1	227	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Brain acid soluble protein 1 	1.0000	0.9990	4	14	14	14	1	0	1	0	0	1	1	0	0	0	2	1	1	0	2	1	1	2	3227956	     0	988637	     0	     0	622180	4641255	     0	     0	     0	2499037	344943	2834315	     0	661692	1012715	1014277	1007970		
sp|P82979|SARNP_HUMAN	P82979	SARNP_HUMAN	SARNP	210	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	SAP domain-containing ribonucleoprotein 	1.0000	0.9990	2	14	14	14	2	0	1	1	0	0	1	1	1	1	0	0	2	1	1	1	1	0	1572825	     0	994838	2077864	     0	     0	6646538	2776758	2454367	1564066	     0	     0	2021096	818126	998205	2514174	2433444	     0		
sp|P83916|CBX1_HUMAN	P83916	CBX1_HUMAN	CBX1	185	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Chromobox protein homolog 1 	1.0000	0.9990	8	64	61	64	7	2	4	5	3	3	5	3	5	2	3	4	4	4	4	3	2	1	7224201	462158	3969688	1417994	1180664	710704	4127256	2027242	2247621	1356547	1143033	947956	1777804	1169357	1280493	3374174	876118	671270		
sp|P84090|ERH_HUMAN	P84090	ERH_HUMAN	ERH	104	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Enhancer of rudimentary homolog 	1.0000	0.9990	3	26	26	26	2	2	3	2	2	1	1	1	1	2	1	1	2	0	1	2	1	1	1706453	989745	1372217	607589	508004	 92352	648215	345050	306181	465295	207759	128984	623030	     0	118367	626530	274095	560448		
sp|P98160|PGBM_HUMAN	P98160	PGBM_HUMAN	HSPG2	4391	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Basement membrane-specific heparan sulfate proteoglycan core protein 	1.0000	0.9990	9	60	60	60	2	3	3	3	5	3	1	2	2	5	3	4	5	6	7	2	2	2	705248	880256	742683	1023261	809126	678092	411956	551742	586769	867419	906752	906260	909076	865545	1161034	364221	322076	437569		
sp|P98172|EFNB1_HUMAN	P98172	EFNB1_HUMAN	EFNB1	346	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Ephrin-B1 	1.0000	0.9990	3	7	7	7	1	1	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	260712	154541	297364	     0	     0	201878	     0	     0	     0	     0	     0	193701	514283	     0	     0	     0	     0	     0		
sp|P99999|CYC_HUMAN	P99999	CYC_HUMAN	CYCS	105	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Cytochrome c 	1.0000	0.9990	8	196	196	196	17	17	14	9	12	10	6	2	4	13	15	8	13	15	15	9	6	11	39226056	22336025	28598278	30096274	39883630	20015671	22360111	10306888	11566168	34536977	45229488	21260650	39760761	31621652	32694284	37962313	31519250	52225479		
sp|Q00577|PURA_HUMAN	Q00577	PURA_HUMAN	PURA	322	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Transcriptional activator protein Pur-alpha 	1.0000	0.9990	5	43	43	43	4	2	2	2	5	2	0	0	1	2	5	4	7	2	4	0	0	1	1261233	425288	283450	546541	477340	416606	     0	     0	618418	445097	867784	645224	1157836	660064	543567	     0	     0	889498		
sp|Q00610|CLH1_HUMAN	Q00610	CLH1_HUMAN	CLTC	1675	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Clathrin heavy chain 1 	1.0000	0.9990	25	140	114	140	6	3	3	18	12	11	1	1	1	16	18	17	9	9	12	1	0	2	1381283	512966	514141	1628471	1602598	936188	744806	541159	304028	2016212	1809776	1770903	1556188	4777143	1256742	874139	     0	424376		
sp|Q00688|FKBP3_HUMAN	Q00688	FKBP3_HUMAN	FKBP3	224	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase FKBP3 	1.0000	0.9990	5	45	45	45	1	3	3	2	3	3	3	2	1	3	2	3	3	3	2	3	2	3	1853844	3570640	5264890	1999279	4003720	2117622	4382308	1470749	1333194	4796808	2828574	3272317	5344169	3305453	2094556	5688843	4109518	5973606		
sp|Q00839|HNRPU_HUMAN	Q00839	HNRPU_HUMAN	HNRNPU	825	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein U 	1.0000	0.9990	5	92	92	92	8	7	6	3	7	4	4	4	3	6	6	6	6	6	3	4	5	4	7622725	3620600	4165380	4484730	4404014	2594996	23149280	12106894	10403552	4930263	7423871	3200968	5094714	2446194	4640745	6680158	5141401	3398123		
